Season,TeamName,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3
2007,Marist,18.0855,265,45.1942,296,36.7203,24,19.6238,195,52.4156,123,27.9607,188
2007,Marquette,21.2928,113,51.4575,170,27.2497,192,22.5596,76,51.3779,161,26.0626,248
2007,Marshall,22.017,84,50.8523,183,27.1307,193,22.3409,83,49.2212,229,28.4379,165
2007,Maryland,20.3724,159,57.7281,27,21.8994,307,19.3464,207,53.8562,86,26.7974,226
2007,"Maryland Eastern Shore",19.8103,182,52.9018,134,27.2879,190,20.8672,129,56.6396,25,22.4932,319
2007,Massachusetts,19.6786,191,57.1541,37,23.1674,288,22.2809,87,51.6953,144,26.0238,249
2007,"McNeese St.",21.16,118,60.7948,5,18.0451,335,24.6938,22,46.9378,296,28.3684,168
2007,Memphis,20.2879,167,51.1309,176,28.5812,156,24.9036,21,51.6931,145,23.4033,305
2007,Mercer,22.005,85,56.6416,43,21.3534,313,14.9725,330,53.8462,87,31.1813,80
2007,"Miami FL",17.771,280,54.8486,77,27.3804,188,22.084,92,44.5969,321,33.319,39
2007,"Miami OH",17.9918,270,56.1672,52,25.841,224,20.5277,153,53.1926,100,26.2797,243
2007,Michigan,22.0987,81,55.2245,69,22.6767,299,19.2999,208,52.0341,136,28.666,163
2007,"Michigan St.",21.1775,116,54.833,78,23.9895,269,22.3888,78,45.977,306,31.6342,69
2007,"Middle Tennessee",17.7778,279,60.3618,8,21.8605,309,22.7797,65,45.7602,311,31.4601,71
2007,Milwaukee,19.1829,219,47.6333,259,33.1839,63,22.5879,75,55.6357,43,21.7764,326
2007,Minnesota,16.2766,322,54.6809,83,29.0426,144,20.604,149,51.6318,149,27.7642,193
2007,Mississippi,15.9292,327,56.074,54,27.9968,172,19.2699,211,51.6978,143,29.0323,149
2007,"Mississippi St.",19.0248,231,48.8364,228,32.1389,82,18.7239,234,51.6264,150,29.6497,130
2007,"Mississippi Valley St.",22.5915,62,53.5645,117,23.8439,275,20.6476,145,57.5317,14,21.8207,324
